id,name,domain,direction,subdirection,type,hours_min,hours_avg,hours_max,market_min,market_avg,market_max,specialists_raw,roles_model,blend_rate_cost,primary_role,primary_rate_cost,cost_min,cost_avg,cost_max,impro_price_min,impro_price_avg,impro_price_premium,margin_risk,implied_margin_at_market_avg,implied_margin_at_impro_avg
M-097,Дизайн маркетингового лендинга (UI),marketing,Брендинг / дизайн-маркетинг,Landing UI,Проектная,16,35,70,30000,70000,150000,"UI-дизайнер, Арт-директор",AD(10%)+PPC(45%)+DESIGN(45%)+PM_cost(10%),1582,AD,3500,27835,60890,121779,39764,98210,221416,NO,13.0,38.0
M-098,Дизайн презентации для продаж / коммерческого предложения,marketing,Брендинг / дизайн-маркетинг,Sales design,Разовая,8,18,35,15000,35000,80000,"Дизайнер презентаций, Копирайтер (опц.)",CONTENT(50%)+DESIGN(50%)+PM_cost(10%),1253,CONTENT,1264,11029,24816,48253,15756,40026,100000,NO,29.1,38.0
M-099,"Комплект маркетинговых шаблонов (банеры, посты, stories)",marketing,Брендинг / дизайн-маркетинг,Шаблоны,Проектная,12,28,55,25000,55000,110000,"Графический дизайнер, Арт-директор",AD(10%)+PPC(45%)+DESIGN(45%)+PM_cost(10%),1582,AD,3500,20876,48712,95684,29823,78568,173971,NO,11.4,38.0
M-100,Адаптация брендбука под digital-каналы,marketing,Брендинг / дизайн-маркетинг,Digital brand,Проектная,10,22,40,25000,55000,100000,"Арт-директор, Бренд-дизайнер",AD(10%)+PPC(45%)+DESIGN(45%)+PM_cost(10%),1582,AD,3500,17397,38273,69588,24853,61731,126524,NO,30.4,38.0
M-101,Дизайн email-шаблона (responsive),marketing,Брендинг / дизайн-маркетинг,Email design,Разовая,6,12,24,10000,25000,50000,"Дизайнер, Email-верстальщик",FE(50%)+DESIGN(50%)+PM_cost(10%),1609,FE,2100,10617,21234,42468,15167,34248,77215,NO,15.1,38.0
M-102,Сценарий короткого маркетингового ролика,marketing,Видео light,Сценарии,Разовая,3,6,12,5000,12000,25000,"Сценарист, Маркетолог",SEO(100%)+PM_cost(15%),1217,SEO,1432,4199,8399,16797,5999,13547,31250,NO,30.0,38.0
M-103,Монтаж короткого ролика из исходников клиента,marketing,Видео light,Монтаж,Разовая,4,8,16,8000,18000,40000,"Монтажёр, Motion (опц.)",PRODUCER(100%)+PM_cost(10%),2082,PRODUCER,2450,9163,18326,36652,13090,29558,66640,NO,-1.8,38.0
M-104,Motion-графика / анимированная explainer light,marketing,Видео light,Motion,Проектная,12,28,55,25000,60000,120000,"Motion-дизайнер, Сценарист",PRODUCER(36%)+DESIGN(64%)+PM_cost(10%),1669,PRODUCER,2450,22027,51396,100957,31467,82897,183558,NO,14.3,38.0
M-105,Пакет субтитров и нарезка вертикальных клипов из длинного видео,marketing,Видео light,Нарезка,Разовая,6,14,28,12000,28000,55000,"Монтажёр, SMM (хуки)",SMM(100%)+PM_cost(10%),1289,SMM,1516,8505,19844,39689,12150,32006,72162,NO,29.1,38.0
M-106,ТЗ и супервайзинг съёмки (без продакшна камеры),marketing,Видео light,Продакшн-менеджмент,Разовая,4,10,20,8000,20000,40000,"Продюсер, Маркетолог",PRODUCER(100%)+PM_cost(10%),2082,PRODUCER,2450,9163,22908,45815,13090,36948,83300,YES,-14.5,38.0
M-107,Видео-креативы для performance (статик→video light пакет),marketing,Видео light,Performance video,Разовая,8,18,35,15000,35000,70000,"Motion, PPC, Дизайнер",PPC(39%)+PRODUCER(22%)+DESIGN(39%)+PM_cost(10%),1577,PPC,1685,13875,31220,60705,19821,50355,110373,NO,10.8,38.0
M-108,Комплексный маркетинг-аудит (все каналы overview),marketing,Стратегия и аудиты,Комплексный аудит,Проектная,20,45,80,50000,120000,250000,"Маркетинг-стратег, Аналитик, Узкие специалисты light",STRATEGIST(48%)+ANALYTICS(52%)+PM_cost(10%),2172,STRATEGIST,2900,47791,107529,191163,68273,173434,347569,NO,10.4,38.0
M-109,Разработка go-to-market стратегии на запуск,marketing,Стратегия и аудиты,GTM,Проектная,15,35,60,40000,90000,180000,"Стратег, Performance lead, Бренд (опц.)",STRATEGIST(100%)+PM_cost(10%),2465,STRATEGIST,2900,40672,94903,162690,58103,153069,295800,YES,-5.4,38.0
M-110,Юнит-экономика маркетинга и модель CAC/LTV,marketing,Стратегия и аудиты,Экономика,Проектная,12,28,50,30000,70000,140000,"Маркетинг-аналитик, Стратег",STRATEGIST(48%)+ANALYTICS(52%)+PM_cost(10%),2172,STRATEGIST,2900,28674,66907,119477,40963,107915,217231,NO,4.4,38.0
M-111,Конкурентный анализ (маркетинг),marketing,Стратегия и аудиты,Research,Проектная,10,22,40,20000,45000,90000,"Стратег, Аналитик, PPC/SEO light",STRATEGIST(22%)+ANALYTICS(24%)+PPC(27%)+SEO(27%)+PM_cost(10%),1707,STRATEGIST,2900,18777,41309,75107,26824,66627,136558,NO,8.2,38.0
M-112,CustDev / интервью с клиентами (маркетинговый пакет),marketing,Стратегия и аудиты,Исследования,Проектная,15,35,60,35000,80000,160000,"Исследователь, Стратег",STRATEGIST(52%)+UX(48%)+PM_cost(10%),2283,STRATEGIST,2900,37667,87890,150669,53810,141758,273944,YES,-9.9,38.0
M-113,Медиастратегия omnichannel на квартал,marketing,Стратегия и аудиты,Медиастратегия,Проектная,12,28,50,35000,80000,160000,"Медиастратег, Performance lead",STRATEGIST(100%)+PM_cost(10%),2465,STRATEGIST,2900,32538,75922,135575,46483,122455,246500,NO,5.1,38.0
M-114,Аудит отдела маркетинга / операционной модели,marketing,Стратегия и аудиты,Операции,Проектная,15,35,60,45000,100000,200000,"Маркетинг-директор (consult), Операционный консультант",BA(44%)+PPC(56%)+PM_cost(10%),1980,BA,3150,32673,76236,130691,46676,122961,250000,NO,23.8,38.0
M-115,Подготовка маркетинговой части коммерческого предложения / тендера,marketing,Стратегия и аудиты,Тендеры,Разовая,8,18,35,15000,40000,80000,"Стратег, Аккаунт, Сметчик",STRATEGIST(100%)+PM_cost(15%),2465,STRATEGIST,2900,22678,51025,99216,32397,82298,180393,YES,-27.6,38.0
M-116,Диагностика воронки лидогенерации (end-to-end),marketing,Стратегия и аудиты,Воронка,Проектная,12,28,50,30000,70000,140000,"Стратег, Аналитик, PPC/SEO light",STRATEGIST(22%)+ANALYTICS(24%)+PPC(27%)+SEO(27%)+PM_cost(10%),1707,STRATEGIST,2900,22532,52575,93883,32189,84798,175000,NO,24.9,38.0
M-117,Стратегия локального маркетинга сети филиалов,marketing,Стратегия и аудиты,Локальный маркетинг,Проектная,15,35,60,40000,90000,180000,"Стратег, Local SEO, Performance",STRATEGIST(44%)+SEO(56%)+PM_cost(10%),1766,STRATEGIST,2900,29143,68000,116571,41633,109677,225000,NO,24.4,38.0
M-118,Пакет гипотез роста и план A/B-экспериментов,marketing,Стратегия и аудиты,Growth,Разовая,8,16,30,20000,45000,90000,"Growth-маркетолог, Аналитик, CRO",ANALYTICS(100%)+PM_cost(10%),1904,ANALYTICS,2240,16755,33510,62832,23936,54048,114240,NO,25.5,38.0
IT-001,CJM: карта пути клиента (базовая),it,Discovery / UX,CJM,Проектная,16,40,80,40000,90000,180000,"UX-исследователь, UX-дизайнер, аналитик (частично)",UX(28%)+ANALYTICS(33%)+DESIGN(39%)+PM_cost(10%),1770,UX,2450,31154,77886,155771,44506,125623,283220,NO,13.5,38.0
IT-002,Глубинные UX-интервью (серия),it,Discovery / UX,Интервью,Проектная,20,48,100,25000,60000,120000,"UX-исследователь, рекрутер (опц.)",UX(100%)+PM_cost(10%),2082,UX,2450,45815,109956,229075,65450,177348,416500,YES,-83.3,38.0
IT-003,Usability-тест прототипа / сайта (модерируемый),it,Discovery / UX,Usability,Разовая,12,28,56,30000,70000,140000,"UX-исследователь, UX-дизайнер",UX(42%)+DESIGN(58%)+PM_cost(10%),1703,UX,2450,22482,52458,104916,32117,84610,190756,NO,25.1,38.0
IT-004,Экспресс UX-аудит сайта (экспертный),it,Discovery / UX,Аудит,Разовая,8,16,32,20000,45000,90000,"UX-дизайнер, UX-исследователь",UX(42%)+DESIGN(58%)+PM_cost(10%),1703,UX,2450,14988,29976,59952,21411,48348,112500,NO,33.4,38.0
IT-005,Персоны / JTBD (базовый набор),it,Discovery / UX,Персоны,Проектная,10,24,48,20000,50000,100000,"UX-исследователь, UX-дизайнер",UX(42%)+DESIGN(58%)+PM_cost(10%),1703,UX,2450,18735,44964,89928,26764,72523,163505,NO,10.1,38.0
IT-006,Tree testing / карточная сортировка IA,it,Discovery / UX,Информационная архитектура,Разовая,12,28,50,25000,55000,110000,UX-исследователь,UX(100%)+PM_cost(10%),2082,UX,2450,27489,64141,114538,39270,103453,208251,YES,-16.6,38.0
IT-007,"Прототип ключевого сценария (Figma, mid-fi)",it,Discovery / UX,Прототипирование,Проектная,16,40,80,35000,80000,160000,UX-дизайнер,DESIGN(100%)+PM_cost(10%),1432,DESIGN,1685,25208,63019,126038,36011,101644,229160,NO,21.2,38.0
IT-008,Конкурентный UX-бенчмарк (5–8 сайтов),it,Discovery / UX,Бенчмарк,Разовая,12,24,48,25000,55000,100000,"UX-дизайнер, UX-исследователь",UX(42%)+DESIGN(58%)+PM_cost(10%),1703,UX,2450,22482,44964,89928,32117,72523,163505,NO,18.2,38.0
IT-009,Вайрфреймы набора страниц (low-fi),it,UI-дизайн,Вайрфреймы,Проектная,12,28,56,20000,50000,100000,UX/UI-дизайнер,DESIGN(100%)+PM_cost(10%),1432,DESIGN,1685,18906,44113,88227,27009,71150,160413,NO,11.8,38.0
IT-010,Дизайн одной посадочной страницы (high-fi),it,UI-дизайн,Дизайн страниц,Разовая,16,40,80,15000,40000,90000,"UI-дизайнер, арт-директор (ревью)",AD(10%)+PPC(45%)+DESIGN(45%)+PM_cost(10%),1582,AD,3500,27835,69588,139176,39764,112239,253047,YES,-74.0,38.0
IT-011,Дизайн внутренней страницы по шаблону,it,UI-дизайн,Дизайн страниц,Разовая,6,14,28,8000,20000,45000,UI-дизайнер,DESIGN(100%)+PM_cost(10%),1432,DESIGN,1685,9453,22057,44113,13504,35576,80205,YES,-10.3,38.0
IT-012,Дизайн UI-набора форм (lead / заявка),it,UI-дизайн,Формы,Разовая,6,14,28,10000,25000,50000,"UI-дизайнер, UX-дизайнер",DESIGN(100%)+PM_cost(10%),1432,DESIGN,1685,9453,22057,44113,13504,35576,80205,NO,11.8,38.0
IT-013,Design tokens / UI-kit light,it,UI-дизайн,Дизайн-система,Проектная,24,56,120,40000,90000,180000,"UI-дизайнер, арт-директор",AD(10%)+PPC(45%)+DESIGN(45%)+PM_cost(10%),1582,AD,3500,41753,97423,208764,59647,157134,379571,YES,-8.2,38.0
IT-014,Редизайн шапки и футера (глобальные),it,UI-дизайн,Глобальные блоки,Разовая,8,20,40,15000,35000,70000,"UI-дизайнер, UX-дизайнер",DESIGN(100%)+PM_cost(10%),1432,DESIGN,1685,12604,31510,63019,18006,50823,114580,NO,10.0,38.0
IT-015,Дизайн модальных окон / toast / алертов,it,UI-дизайн,Микроинтерфейсы,Разовая,4,10,20,8000,18000,35000,UI-дизайнер,DESIGN(100%)+PM_cost(10%),1432,DESIGN,1685,6302,15755,31510,9003,25411,57291,NO,12.5,38.0
IT-016,UI-адаптация макета под мобильный (отдельно),it,UI-дизайн,Адаптив,Разовая,8,20,40,10000,25000,55000,UI-дизайнер,DESIGN(100%)+PM_cost(10%),1432,DESIGN,1685,12604,31510,63019,18006,50823,114580,YES,-26.0,38.0
IT-017,Вёрстка HTML/CSS одной страницы (pixel-perfect light),it,Frontend,HTML/CSS,Разовая,8,20,40,8000,20000,45000,Frontend-верстальщик,FE(100%)+PM_cost(10%),1785,FE,2100,15708,39270,78540,22440,63339,142800,YES,-96.4,38.0
IT-018,React-компонент (переиспользуемый),it,Frontend,React,Разовая,6,16,36,8000,25000,60000,Frontend-разработчик (React),FE(100%)+PM_cost(10%),1785,FE,2100,11781,31416,70686,16830,50671,128520,YES,-25.7,38.0
IT-019,Вёрстка и логика веб-формы (фронт),it,Frontend,Формы,Разовая,6,14,32,10000,28000,60000,Frontend-разработчик,FE(100%)+PM_cost(10%),1785,FE,2100,11781,27489,62832,16830,44337,114240,NO,1.8,38.0
IT-020,"Калькулятор-виджет (фронт, 1 формула)",it,Frontend,Виджеты,Разовая,8,20,45,15000,40000,90000,Frontend-разработчик,FE(100%)+PM_cost(10%),1785,FE,2100,15708,39270,88358,22440,63339,160651,NO,1.8,38.0
IT-021,Адаптивное меню / бургер / мегаменю (фронт),it,Frontend,Навигация,Разовая,6,14,30,8000,22000,50000,Frontend-разработчик,FE(100%)+PM_cost(10%),1785,FE,2100,11781,27489,58905,16830,44337,107100,YES,-24.9,38.0
IT-022,Подключение анимаций / micro-interactions (фронт),it,Frontend,Анимация,Разовая,4,12,28,8000,25000,55000,Frontend-разработчик,FE(100%)+PM_cost(10%),1785,FE,2100,7854,23562,54978,11220,38003,99960,NO,5.8,38.0
IT-023,Интеграция фронта с REST API (1 ресурс),it,Frontend,API-клиент,Разовая,6,16,36,12000,35000,75000,Frontend-разработчик,FE(100%)+PM_cost(10%),1785,FE,2100,11781,31416,70686,16830,50671,128520,NO,10.2,38.0
IT-024,Статический лендинг на Next/Nuxt (SSG light),it,Frontend,SSG/SSR light,Проектная,16,40,80,30000,80000,160000,Frontend-разработчик,FE(100%)+PM_cost(10%),1785,FE,2100,31416,78540,157080,44880,126677,285600,NO,1.8,38.0
IT-025,REST API endpoint (CRUD light одного ресурса),it,Backend,API,Разовая,8,20,45,10000,30000,70000,Backend-разработчик,BE(100%)+PM_cost(10%),1904,BE,2240,16755,41888,94248,23936,67561,171360,YES,-39.6,38.0
IT-026,Модуль авторизации light (email/password или OTP),it,Backend,Auth,Проектная,16,40,80,35000,80000,160000,"Backend-разработчик, DevOps (секреты)",DEVOPS(50%)+BE(50%)+PM_cost(10%),1993,DEVOPS,2450,35081,87703,175406,50116,141456,318920,YES,-9.6,38.0
IT-027,Серверная валидация и антиспам формы,it,Backend,Формы / антиспам,Разовая,4,10,24,8000,20000,45000,Backend-разработчик,BE(100%)+PM_cost(10%),1904,BE,2240,8378,20944,50266,11969,33781,91393,YES,-4.7,38.0
IT-028,Файловое хранилище / загрузка документов (light),it,Backend,Файлы,Разовая,8,18,40,15000,35000,75000,Backend-разработчик,BE(100%)+PM_cost(10%),1904,BE,2240,16755,37699,83776,23936,60805,152320,YES,-7.7,38.0
IT-029,"Фоновая задача / очередь (email, webhook retry)",it,Backend,Очереди,Разовая,8,20,40,15000,40000,80000,"Backend-разработчик, DevOps",DEVOPS(50%)+BE(50%)+PM_cost(10%),1993,DEVOPS,2450,17541,43852,87703,25059,70729,159460,YES,-9.6,38.0
IT-030,Админ-API / простой CRUD-админ light,it,Backend,Админка API,Проектная,16,40,80,30000,75000,150000,Backend-разработчик,BE(100%)+PM_cost(10%),1904,BE,2240,33510,83776,167552,47871,135123,304640,YES,-11.7,38.0
IT-031,Страница на 1С-Битрикс (по шаблону сайта),it,CMS,Bitrix страница,Разовая,6,16,36,8000,25000,55000,Bitrix-разработчик,BITRIX(100%)+PM_cost(10%),1606,BITRIX,1890,10603,28274,63617,15147,45603,115667,YES,-13.1,38.0
IT-032,Форма на 1С-Битрикс (web-форма / результат),it,CMS,Bitrix форма,Разовая,4,12,28,10000,28000,60000,Bitrix-разработчик,BITRIX(100%)+PM_cost(10%),1606,BITRIX,1890,7069,21206,49480,10099,34203,89964,NO,24.3,38.0
IT-033,Страница на WordPress (шаблон / Gutenberg / Elementor),it,CMS,WordPress страница,Разовая,4,12,28,6000,18000,40000,WP-разработчик / контент-верстальщик,FE(50%)+CONTENT(50%)+PM_cost(10%),1430,FE,2100,6291,18872,44035,8987,30439,80064,YES,-4.8,38.0
IT-034,Лендинг / блок на Tilda,it,CMS,Tilda,Разовая,4,12,28,8000,22000,50000,Tilda-специалист / дизайнер-верстальщик,FE(50%)+DESIGN(50%)+PM_cost(10%),1609,FE,2100,7078,21234,49546,10111,34248,90084,NO,3.5,38.0
IT-035,Кастомный Zero Block / HTML-блок Tilda,it,CMS,Tilda кастом,Разовая,4,12,28,10000,30000,65000,"Tilda-специалист, frontend light",FE(100%)+PM_cost(10%),1785,FE,2100,7854,23562,54978,11220,38003,99960,NO,21.5,38.0
IT-036,Миграция/перенос страницы между CMS (light),it,CMS,Миграция light,Разовая,8,20,45,15000,40000,90000,CMS-разработчик,FE(100%)+PM_cost(15%),1785,FE,2100,16422,41055,92374,23460,66218,167953,YES,-2.6,38.0
IT-037,Настройка прав и ролей редакторов CMS,it,CMS,Администрирование,Разовая,3,8,16,5000,15000,30000,CMS-администратор / разработчик,FE(100%)+PM_cost(15%),1785,FE,2100,6158,16422,32844,8797,26487,59716,YES,-9.5,38.0
IT-038,Подключение корпоративной почты / SMTP к CMS-формам,it,CMS,Почта,Разовая,2,6,14,5000,12000,25000,"CMS-разработчик, DevOps light",DEVOPS(100%)+PM_cost(10%),2082,DEVOPS,2450,4582,13745,32071,6546,22169,58311,YES,-14.5,38.0
IT-039,Интеграция формы сайта с amoCRM (сделка/контакт),it,Интеграции,amoCRM,Разовая,8,20,45,15000,40000,90000,"Интегратор CRM, backend light",BE(100%)+PM_cost(10%),1904,BE,2240,16755,41888,94248,23936,67561,171360,YES,-4.7,38.0
IT-040,Интеграция лида с Битрикс24 (лид/сделка),it,Интеграции,Bitrix24,Разовая,8,20,45,15000,40000,90000,Интегратор Битрикс24,FE(100%)+PM_cost(15%),1785,FE,2100,16422,41055,92374,23460,66218,167953,YES,-2.6,38.0
IT-041,Подключение телефонии / коллтрекинга к CRM (light),it,Интеграции,Телефония,Разовая,10,24,50,20000,50000,110000,Интегратор телефонии/CRM,FE(100%)+PM_cost(15%),1785,FE,2100,20528,49266,102637,29326,79461,186613,NO,1.5,38.0
IT-042,Подключение ЮKassa (оплата на сайте),it,Интеграции,Платежи,Проектная,12,28,60,20000,50000,120000,Backend/CMS-разработчик,BE(100%)+PM_cost(10%),1904,BE,2240,25133,58643,125664,35904,94585,228480,YES,-17.3,38.0
IT-043,Лёгкая синхронизация с 1С (обмен каталогом/остатками light),it,Интеграции,1С,Проектная,20,50,120,40000,100000,250000,"1С-интегратор, backend/CMS",BE(100%)+PM_cost(10%),1904,BE,2240,41888,104720,251328,59840,168903,456960,YES,-4.7,38.0
IT-044,Transactional email (заказ / заявка / статус),it,Интеграции,Email,Разовая,6,14,30,10000,28000,60000,Backend/маркетолог-автоматизатор,BE(100%)+PM_cost(10%),1904,BE,2240,12566,29322,62832,17951,47294,114240,YES,-4.7,38.0
IT-045,Входящий / исходящий webhook (1 событие),it,Интеграции,Webhooks,Разовая,4,10,24,8000,22000,50000,Backend-разработчик,BE(100%)+PM_cost(10%),1904,BE,2240,8378,20944,50266,11969,33781,91393,NO,4.8,38.0
IT-046,Интеграция чата / онлайн-консультанта на сайт,it,Интеграции,Чаты,Разовая,2,6,14,5000,15000,35000,Маркетолог-технический / frontend light,FE(100%)+PM_cost(10%),1785,FE,2100,3927,11781,27489,5610,19002,49980,NO,21.5,38.0
IT-047,Интеграция формы Tilda/WP с Google Sheets / таблицей,it,Интеграции,Таблицы,Разовая,2,6,14,5000,12000,30000,Интегратор no-code / разработчик,FE(100%)+PM_cost(15%),1785,FE,2100,4106,12316,28738,5866,19865,52251,YES,-2.6,38.0
IT-048,Двусторонняя синхронизация статусов заказ↔CRM (light),it,Интеграции,CRM sync,Проектная,16,40,80,35000,80000,160000,"Backend, интегратор CRM",BE(100%)+PM_cost(10%),1904,BE,2240,33510,83776,167552,47871,135123,304640,YES,-4.7,38.0
IT-049,Установка и базовая настройка Яндекс Метрики,it,Аналитика,Метрика,Разовая,2,5,12,5000,12000,25000,Аналитик / frontend light,FE(54%)+ANALYTICS(46%)+PM_cost(10%),1840,FE,2100,4048,10120,24287,5783,16323,44158,NO,15.7,38.0
IT-050,Настройка целей Яндекс Метрики (пакет),it,Аналитика,Цели,Разовая,3,8,18,5000,15000,35000,"Аналитик, frontend light",FE(54%)+ANALYTICS(46%)+PM_cost(10%),1840,FE,2100,6072,16191,36430,8674,26115,66236,YES,-7.9,38.0
IT-051,Ecommerce-события Метрики / dataLayer (базовый),it,Аналитика,Ecommerce,Проектная,10,28,60,20000,55000,120000,"Аналитик, frontend/CMS-разработчик",FE(54%)+ANALYTICS(46%)+PM_cost(10%),1840,FE,2100,20239,56670,121435,28913,91403,220791,YES,-3.0,38.0
IT-052,Установка Calltouch / Roistat (базовая),it,Аналитика,Коллтрекинг / сквозная,Разовая,6,16,36,10000,25000,50000,"Аналитик, интегратор",ANALYTICS(100%)+PM_cost(10%),1904,ANALYTICS,2240,12566,33510,75398,17951,54048,137087,YES,-34.0,38.0
IT-053,Настройка GTM-контейнера (базовый каркас),it,Аналитика,GTM,Разовая,4,10,24,8000,20000,45000,Аналитик,ANALYTICS(100%)+PM_cost(10%),1904,ANALYTICS,2240,8378,20944,50266,11969,33781,91393,YES,-4.7,38.0
IT-054,События кликов по телефону / мессенджерам,it,Аналитика,Микроконверсии,Разовая,2,5,12,4000,10000,22000,"Аналитик, frontend light",FE(54%)+ANALYTICS(46%)+PM_cost(10%),1840,FE,2100,4048,10120,24287,5783,16323,44158,NO,-1.2,38.0
IT-055,Дашборд ключевых метрик сайта (DataLens / Sheets),it,Аналитика,Отчётность,Ежемесячная,8,20,40,15000,40000,80000,Аналитик,ANALYTICS(100%)+PM_cost(10%),1904,ANALYTICS,2240,16755,41888,83776,23936,67561,152320,YES,-4.7,38.0
IT-056,Telegram-бот FAQ (дерево ответов),it,Боты,Telegram FAQ,Проектная,16,40,90,25000,60000,150000,Разработчик ботов / no-code автоматизатор,FE(100%)+PM_cost(15%),1785,FE,2100,32844,82110,184748,46920,132435,335905,YES,-36.9,38.0
IT-057,Telegram лид-бот (квалификация + заявка),it,Боты,Telegram лиды,Проектная,16,40,85,30000,70000,160000,"Разработчик ботов, интегратор",FE(100%)+PM_cost(15%),1785,FE,2100,32844,82110,174484,46920,132435,317244,YES,-17.3,38.0
IT-058,WhatsApp / Max уведомления по шаблону (light),it,Боты,Мессенджер-уведомления,Разовая,8,20,45,20000,50000,110000,"Интегратор, backend light",BE(100%)+PM_cost(10%),1904,BE,2240,16755,41888,94248,23936,67561,171360,NO,16.2,38.0
IT-059,Виджет Telegram/WhatsApp-кнопки на сайт + UTM,it,Боты,Вход в мессенджер,Разовая,2,5,12,4000,10000,22000,"Frontend light, аналитик",FE(54%)+ANALYTICS(46%)+PM_cost(10%),1840,FE,2100,4048,10120,24287,5783,16323,44158,NO,-1.2,38.0
IT-060,Шаблон карточки товара (дизайн + вёрстка light),it,E-commerce,Карточка товара,Проектная,12,32,70,25000,60000,130000,"UI-дизайнер, frontend/CMS",FE(50%)+DESIGN(50%)+PM_cost(10%),1609,FE,2100,21234,56624,123864,30334,91329,225207,NO,5.6,38.0
IT-061,Корзина (базовый функционал),it,E-commerce,Корзина,Проектная,16,40,90,35000,80000,180000,"Backend, frontend",FE(50%)+BE(50%)+PM_cost(10%),1844,FE,2100,32463,81158,182606,46376,130900,332011,NO,-1.4,38.0
IT-062,Фильтры каталога (faceted light),it,E-commerce,Фильтры,Проектная,16,40,90,30000,75000,160000,"Backend, frontend, UX",FE(50%)+BE(50%)+PM_cost(10%),1844,FE,2100,32463,81158,182606,46376,130900,332011,YES,-8.2,38.0
IT-063,"Оформление заказа (checkout light, без оплаты)",it,E-commerce,Checkout,Проектная,16,40,85,30000,70000,150000,"Backend, frontend, UX",FE(50%)+BE(50%)+PM_cost(10%),1844,FE,2100,32463,81158,172461,46376,130900,313565,YES,-15.9,38.0
IT-064,Промокод / скидка (базовый движок),it,E-commerce,Промо,Разовая,8,20,45,15000,40000,90000,"Backend, frontend",FE(50%)+BE(50%)+PM_cost(10%),1844,FE,2100,16232,40579,91303,23189,65450,166005,NO,-1.4,38.0
IT-065,Импорт прайса / каталога из файла (CSV/XLSX),it,E-commerce,Импорт,Разовая,8,24,55,15000,45000,100000,Backend/CMS-разработчик,BE(100%)+PM_cost(10%),1904,BE,2240,16755,50266,115192,23936,81074,209440,YES,-11.7,38.0
IT-066,Поднять staging-окружение,it,DevOps,Окружения,Разовая,8,20,45,20000,50000,100000,"DevOps, backend",DEVOPS(50%)+BE(50%)+PM_cost(10%),1993,DEVOPS,2450,17541,43852,98666,25059,70729,179393,NO,12.3,38.0
IT-067,CI basic (lint/test/build + деплой на staging),it,DevOps,CI/CD,Разовая,8,20,40,20000,50000,100000,DevOps,DEVOPS(100%)+PM_cost(10%),2082,DEVOPS,2450,18326,45815,91630,26180,73895,166600,NO,8.4,38.0
IT-068,SSL-сертификат и HTTPS (выпуск + редирект),it,DevOps,SSL,Разовая,1,3,8,3000,8000,20000,DevOps / системный администратор,DEVOPS(100%)+PM_cost(10%),2082,DEVOPS,2450,2291,6872,18326,3273,11084,33320,NO,14.1,38.0
IT-069,Резервное копирование сайта и БД (настройка),it,DevOps,Backup,Разовая,4,10,24,10000,25000,55000,DevOps,DEVOPS(100%)+PM_cost(10%),2082,DEVOPS,2450,9163,22908,54978,13090,36948,99960,NO,8.4,38.0
IT-070,Мониторинг uptime + базовые алерты,it,DevOps,Мониторинг,Ежемесячная,2,6,14,5000,15000,35000,DevOps,DEVOPS(100%)+PM_cost(10%),2082,DEVOPS,2450,4582,13745,32071,6546,22169,58311,NO,8.4,38.0
IT-071,Базовая настройка веб-сервера / Nginx для сайта,it,DevOps,Веб-сервер,Разовая,4,10,24,10000,25000,55000,DevOps,DEVOPS(100%)+PM_cost(10%),2082,DEVOPS,2450,9163,22908,54978,13090,36948,99960,NO,8.4,38.0
IT-072,Чеклист-тест релиза (ручной),it,QA,Чеклист,Разовая,6,14,30,10000,25000,50000,QA-инженер,QA(100%)+PM_cost(10%),1309,QA,1540,8639,20159,43197,12341,32515,78540,NO,19.4,38.0
IT-073,Регрессионный smoke после изменений,it,QA,Регрессия,Разовая,3,8,16,5000,15000,30000,QA-инженер,QA(100%)+PM_cost(10%),1309,QA,1540,4320,11519,23038,6171,18579,41887,NO,23.2,38.0
IT-074,Кроссбраузер / кроссдевайс тест (пакет),it,QA,Совместимость,Разовая,6,14,28,10000,25000,55000,QA-инженер,QA(100%)+PM_cost(10%),1309,QA,1540,8639,20159,40317,12341,32515,73304,NO,19.4,38.0
IT-075,Тест платёжного сценария (песочница),it,QA,Платежи,Разовая,4,10,20,8000,20000,40000,"QA, backend",BE(58%)+QA(42%)+PM_cost(10%),1656,BE,2240,7287,18217,36434,10410,29382,66244,NO,8.9,38.0
IT-076,Контентное обновление страницы (текст/фото),it,Поддержка,Контент,Разовая,1,3,8,2000,6000,15000,Контент-менеджер / CMS-редактор,CONTENT(100%)+PM_cost(10%),1074,CONTENT,1264,1182,3546,9455,1800,6300,18750,NO,40.9,43.7
IT-077,Багфикс фронта/CMS (1 инцидент),it,Поддержка,Багфикс,Разовая,1,4,12,3000,12000,35000,Frontend/CMS/backend по типу бага,FE(50%)+BE(50%)+PM_cost(10%),1844,FE,2100,2029,8116,24347,2899,13090,44267,NO,32.4,38.0
IT-078,Оптимизация скорости одной страницы,it,Поддержка,Performance,Разовая,4,12,28,10000,30000,70000,"Frontend, DevOps light",DEVOPS(50%)+FE(50%)+PM_cost(10%),1934,DEVOPS,2450,8508,25526,59560,12154,41171,108291,NO,14.9,38.0
IT-079,Абонентская техническая поддержка сайта (пакет часов),it,Поддержка,Абонентка,Ежемесячная,5,12,40,15000,40000,100000,"CMS/frontend, PM",FE(100%)+PM_cost(15%),1785,FE,2100,10264,24633,82110,14663,42000,149291,NO,38.4,41.3
